minorOccCodeGroup,broadOccCodeGroup,majorOccNameGroup,occupation,end_0000,end_000,end_00,end_0,hourlyMean,hourlyMed,salaryMean,salaryMed,totEmp,wageSalEmp,selfEmp,f_total,f_violence,f_trans,f_fireExp,f_fallSlipTrip,f_exposure,f_contact,f_allOther,nf_total,nf_violence,nf_violence_intent,nf_violence_unintent,nf_violence_animal,nf_trans,nf_trans_roadway,nf_fireExp,nf_fallSlipTrip,nf_fallSlipTrip_lowLevel,nf_fallSlipTrip_sameLevel,nf_fallSlipTrip_noFall,nf_exposure,nf_contact,nf_contact_struckBy,nf_contact_struckAgainst,nf_contact_caughtCompCrush,nf_overextertion,nf_overextertion_liftLowering,nf_overextertion_repetition,nf_allOther,,,stacked,,
51-9000,51-9020,Production Occupations,"Mixing and blending machine setters, operators, and tenders",FALSE,FALSE,FALSE,FALSE,18.09,17.16,37630,35680,131000,130600,400,4,0,1,0,0,0,2,1,610,0,0,0,0,0,0,0,130,50,40,40,80,220,70,50,80,170,60,20,0,TRUE,TRUE,TRUE,,"Mixing and blending machine setters, operators, and tenders"
53-1000,53-1020,Transportation and Material Moving Occupations,"Supervisors of helpers, laborers, and material movers, hand",FALSE,FALSE,FALSE,TRUE,24.12,22.71,50160,47230,184400,184100,400,15,4,4,0,4,0,3,0,1860,0,0,0,0,180,40,0,440,200,160,20,70,560,370,140,30,610,220,60,0,FALSE,TRUE,TRUE,,"Supervisors of helpers, laborers, and material movers, hand"
53-1000,53-1030,Transportation and Material Moving Occupations,Supervisors of transportation and material-moving machine and vehicle operators,FALSE,FALSE,FALSE,TRUE,28.75,27.54,59800,57270,204200,203800,400,10,3,4,0,1,0,0,2,880,0,0,0,0,90,60,0,330,60,180,80,20,220,110,50,50,190,40,0,20,FALSE,TRUE,TRUE,,Supervisors of transportation and material-moving machine and vehicle operators
49-1000,49-1010,"Installation, Maintainance and Repair Occupations","Supervisors of mechanics, installers, and repairers",FALSE,FALSE,FALSE,TRUE,32.08,30.55,66730,63540,462200,461700,500,44,16,4,0,8,4,11,1,3380,20,0,0,20,90,80,0,500,180,220,80,130,1630,880,80,90,1000,250,0,0,FALSE,TRUE,TRUE,,"Supervisors of mechanics, installers, and repairers"
47-5000,47-5040,Construction and Extraction Occupations,Continuous mining machine operators,FALSE,FALSE,FALSE,FALSE,25.31,24.92,52650,51840,12300,11600,700,3,0,0,0,0,0,3,0,50,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,20,0,0,0,TRUE,TRUE,TRUE,,Continuous mining machine operators
47-5000,47-5070,Construction and Extraction Occupations,"Roustabouts, oil and gas",FALSE,FALSE,FALSE,TRUE,19.46,17.95,40480,37340,50000,49100,900,8,0,4,0,0,0,3,1,170,0,0,0,0,0,0,0,0,0,0,0,0,130,60,0,50,30,0,0,0,FALSE,TRUE,TRUE,,"Roustabouts, oil and gas"
49-3000,49-3010,"Installation, Maintainance and Repair Occupations",Aircraft mechanics and service technicians,FALSE,FALSE,FALSE,TRUE,29.42,28.93,61190,60170,132000,131100,900,4,0,2,0,0,0,0,2,1920,0,0,0,0,0,0,0,480,120,250,110,0,560,270,230,40,840,280,80,0,FALSE,TRUE,TRUE,,Aircraft mechanics and service technicians
51-2000,51-2020,Production Occupations,Electrical and electronic equipment assemblers,FALSE,FALSE,FALSE,FALSE,16.2,15.06,33700,31310,218900,218000,1000,1,0,0,0,0,0,0,1,780,0,0,0,0,0,0,0,190,40,140,0,20,180,90,20,60,380,30,130,0,TRUE,TRUE,TRUE,,Electrical and electronic equipment assemblers
53-7000,53-7050,Transportation and Material Moving Occupations,Industrial truck and tractor operators,FALSE,FALSE,FALSE,TRUE,16.47,15.61,34260,32460,549900,548800,1000,37,1,17,0,3,1,15,0,5170,50,0,0,50,730,40,0,790,150,410,190,110,1740,1070,280,210,1740,570,50,0,FALSE,TRUE,TRUE,,Industrial truck and tractor operators
51-3000,51-3020,Production Occupations,"Meat, poultry, and fish cutters and trimmers",FALSE,FALSE,FALSE,FALSE,12.27,11.77,25510,24490,156400,155300,1100,7,3,3,0,0,0,0,1,1700,20,0,0,0,30,0,0,260,40,190,20,100,640,410,90,120,630,130,290,0,TRUE,TRUE,TRUE,,"Meat, poultry, and fish cutters and trimmers"
51-9000,51-9110,Production Occupations,Packaging and filling machine operators and tenders,FALSE,FALSE,FALSE,TRUE,14.86,13.6,30910,28290,383000,381900,1100,3,0,0,0,0,0,0,3,2660,20,0,0,0,40,0,0,550,40,430,70,90,1050,370,170,460,890,290,140,20,FALSE,TRUE,TRUE,,Packaging and filling machine operators and tenders
49-3000,49-3040,"Installation, Maintainance and Repair Occupations",Farm equipment mechanics and service technicians,FALSE,FALSE,FALSE,FALSE,18.9,18.18,39310,37820,42500,41300,1200,10,0,3,0,0,0,7,0,730,0,0,0,0,0,0,0,100,0,80,0,0,390,280,70,30,230,60,20,0,TRUE,TRUE,TRUE,,Farm equipment mechanics and service technicians
49-9000,49-9010,"Installation, Maintainance and Repair Occupations",Control and valve installers and repairers,FALSE,FALSE,FALSE,TRUE,24.72,23.07,51410,47980,67300,66000,1200,4,0,0,0,0,0,0,4,960,0,0,0,0,170,170,0,230,160,20,30,20,350,310,20,0,190,100,0,0,FALSE,TRUE,TRUE,,Control and valve installers and repairers
51-5000,51-5110,Production Occupations,Printing workers,FALSE,FALSE,FALSE,TRUE,17.79,16.88,37010,35120,34600,33200,1300,5,0,0,0,0,0,0,5,1850,0,0,0,0,0,0,0,380,30,300,50,50,700,200,100,410,690,210,70,0,FALSE,TRUE,TRUE,,Printing workers
53-5000,53-5020,Transportation and Material Moving Occupations,"Captains, mates, and pilots of water vessels",FALSE,FALSE,FALSE,FALSE,39.19,34.94,81520,72680,38800,37500,1300,4,0,3,0,0,0,0,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,TRUE,TRUE,TRUE,,"Captains, mates, and pilots of water vessels"
53-2000,53-2010,Transportation and Material Moving Occupations,Commercial pilots,FALSE,FALSE,FALSE,FALSE,,,86260,77200,40800,39400,1300,70,0,70,0,0,0,0,0,200,0,0,0,0,40,20,0,40,0,30,0,30,0,0,0,0,90,0,0,0,TRUE,TRUE,TRUE,,Commercial pilots
53-7000,53-7020,Transportation and Material Moving Occupations,Crane and tower operators,FALSE,FALSE,FALSE,TRUE,26.58,25.08,55280,52170,46000,44700,1300,16,0,2,0,0,0,11,3,380,0,0,0,0,20,0,0,100,20,30,0,50,150,100,0,40,50,0,0,0,FALSE,TRUE,TRUE,,Crane and tower operators
51-9000,51-9030,Production Occupations,"Cutting and slicing machine setters, operators, and tenders",FALSE,FALSE,FALSE,FALSE,16.35,15.8,34000,32870,63600,62200,1400,0,0,0,1,0,0,0,-1,450,0,0,0,0,0,0,0,50,0,50,0,0,210,60,60,80,160,70,20,0,TRUE,TRUE,TRUE,,"Cutting and slicing machine setters, operators, and tenders"
53-7000,53-7110,Transportation and Material Moving Occupations,Mine shuttle car operators,FALSE,FALSE,FALSE,TRUE,27.1,27.14,56370,56450,1500,1400,1500,1,0,1,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,30,0,20,0,20,0,0,0,FALSE,TRUE,TRUE,,Mine shuttle car operators
47-5000,47-5020,Construction and Extraction Occupations,"Earth drillers, except oil and gas",FALSE,FALSE,FALSE,TRUE,24.64,21.33,51240,44360,19600,18000,1600,4,0,0,0,0,0,0,4,100,0,0,0,0,0,0,0,20,0,20,0,0,30,0,0,0,50,0,0,0,FALSE,TRUE,TRUE,,"Earth drillers, except oil and gas"
53-3000,53-3020,Transportation and Material Moving Occupations,"Bus drivers, transit and intercity",FALSE,FALSE,FALSE,FALSE,20.09,19.13,41780,39790,179300,177700,1600,11,0,8,0,0,0,0,3,2560,100,90,0,0,820,600,0,670,110,460,90,60,260,70,70,20,640,130,20,0,TRUE,TRUE,TRUE,,"Bus drivers, transit and intercity"
49-3000,49-3090,"Installation, Maintainance and Repair Occupations",Tire repairers and changers,FALSE,FALSE,FALSE,FALSE,13.05,12.04,27150,25040,111700,109700,2000,3,0,1,1,0,0,0,1,1810,0,0,0,0,30,30,60,300,40,150,70,30,680,440,120,90,710,380,0,0,TRUE,TRUE,TRUE,,Tire repairers and changers
49-9000,49-9050,"Installation, Maintainance and Repair Occupations",Electrical power-line installers and repairers,FALSE,FALSE,FALSE,FALSE,32.29,32.7,67160,68010,120900,118900,2000,21,0,7,0,3,9,1,1,1330,0,0,0,0,70,50,0,400,150,150,100,150,200,130,30,30,490,50,30,0,TRUE,TRUE,TRUE,,Electrical power-line installers and repairers
49-3000,49-3050,"Installation, Maintainance and Repair Occupations",Motorcycle mechanics,FALSE,FALSE,FALSE,FALSE,17.81,16.69,37040,34720,18300,16100,2300,3,0,0,0,0,0,0,3,130,0,0,0,0,70,50,0,0,0,0,0,0,0,0,0,0,40,0,0,0,TRUE,TRUE,TRUE,,Motorcycle mechanics
51-9000,51-9060,Production Occupations,"Inspectors, testers, sorters, samplers, and weighers",FALSE,FALSE,FALSE,TRUE,19.4,17.68,40340,36780,520700,517900,2800,9,0,3,0,0,1,0,5,3750,70,30,40,0,150,100,0,1170,150,850,160,140,910,460,200,120,1300,380,300,0,FALSE,TRUE,TRUE,,"Inspectors, testers, sorters, samplers, and weighers"
51-9000,51-9120,Production Occupations,"Painters, transportation equipment",FALSE,FALSE,FALSE,FALSE,22.25,20.27,46270,42150,58100,55200,2900,5,0,0,0,0,3,0,2,300,0,0,0,0,0,0,0,70,20,0,50,0,90,40,50,0,130,20,20,0,TRUE,TRUE,TRUE,,"Painters, transportation equipment"
53-7000,53-7030,Transportation and Material Moving Occupations,Excavating and loading machine and dragline operators,FALSE,FALSE,FALSE,FALSE,21.74,19.72,45230,41030,50600,47600,3000,20,0,15,0,0,0,5,0,240,0,0,0,0,0,0,0,50,30,0,0,0,130,110,0,0,50,0,0,0,TRUE,TRUE,TRUE,,Excavating and loading machine and dragline operators
51-7000,51-7040,Production Occupations,"Sawing machine setters, operators, and tenders, wood",FALSE,FALSE,FALSE,FALSE,14.41,13.65,29960,28380,54800,51400,3400,5,0,0,0,0,0,4,1,1200,0,0,0,0,30,0,0,350,30,310,0,0,660,330,140,160,140,50,0,0,TRUE,TRUE,TRUE,,"Sawing machine setters, operators, and tenders, wood"
49-2000,49-2090,"Installation, Maintainance and Repair Occupations",Security and fire alarm systems installers,FALSE,FALSE,FALSE,FALSE,21.95,21.31,45660,44330,72300,68600,3700,3,0,0,0,0,0,0,3,430,0,0,0,0,60,60,0,120,80,20,30,0,50,30,0,0,180,0,0,0,TRUE,TRUE,TRUE,,Security and fire alarm systems installers
47-5000,47-5090,Construction and Extraction Occupations,Miscellaneous extraction workers,FALSE,FALSE,FALSE,FALSE,24.6,23.44,51170,48750,4200,3100,4200,12,0,3,0,0,0,7,2,640,0,0,0,0,0,0,0,90,30,60,0,50,290,140,60,80,210,90,0,0,TRUE,TRUE,TRUE,,Miscellaneous extraction workers
53-4000,53-4010,Transportation and Material Moving Occupations,"Rail yard engineers, dinkey operators, and hostlers",FALSE,FALSE,FALSE,FALSE,25.15,24.27,52320,50470,4400,100,4400,1,0,0,0,0,0,0,1,50,0,0,0,0,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,TRUE,,"Rail yard engineers, dinkey operators, and hostlers"
51-7000,51-7020,Production Occupations,Furniture finishers,FALSE,FALSE,FALSE,TRUE,15.54,14.69,32330,30550,22400,17400,5000,3,0,1,0,0,0,0,2,190,0,0,0,0,0,0,0,0,0,0,0,0,90,60,0,0,60,40,0,0,FALSE,TRUE,TRUE,,Furniture finishers
51-3000,51-3090,Production Occupations,Miscellaneous food processing workers,FALSE,FALSE,FALSE,TRUE,14.17,13.04,29470,27110,257400,252000,5400,3,0,0,0,0,0,0,3,2240,0,0,0,0,20,0,0,540,80,380,70,180,670,270,120,270,820,230,180,0,FALSE,TRUE,TRUE,,Miscellaneous food processing workers
51-4000,51-4040,Production Occupations,Machinists,FALSE,FALSE,FALSE,TRUE,20.78,20.05,43220,41700,396200,389600,6500,6,0,0,1,0,0,3,2,2880,0,0,0,0,0,0,0,370,60,220,60,60,1360,600,380,290,1070,400,90,0,FALSE,TRUE,TRUE,,Machinists
53-1000,53-1010,Transportation and Material Moving Occupations,Aircraft cargo handling supervisors,FALSE,FALSE,FALSE,TRUE,24.95,22.77,51900,47360,7600,100,7600,2,1,0,0,1,0,0,0,130,0,0,0,0,0,0,0,20,0,0,0,0,30,30,0,0,80,20,0,0,FALSE,TRUE,TRUE,,Aircraft cargo handling supervisors
51-4000,51-4050,Production Occupations,"Pourers and casters, metal",FALSE,FALSE,FALSE,FALSE,17.93,17.39,37300,36180,8400,8400,8400,1,0,0,0,0,0,0,1,170,0,0,0,0,0,0,0,20,0,0,0,70,40,20,0,20,40,0,0,0,TRUE,TRUE,TRUE,,"Pourers and casters, metal"
51-6000,51-6090,Production Occupations,Upholsterers,FALSE,FALSE,FALSE,FALSE,16.65,15.89,34640,33050,41600,32600,9000,1,0,0,0,0,0,0,1,320,0,0,0,0,0,0,0,30,0,20,0,0,90,70,20,0,190,50,40,0,TRUE,TRUE,TRUE,,Upholsterers
51-3000,51-3010,Production Occupations,Bakers,FALSE,FALSE,FALSE,TRUE,13.04,12.06,27110,25090,191000,181600,9400,3,0,0,0,0,0,0,3,1210,0,0,0,0,20,0,0,270,20,210,30,40,400,230,50,110,450,100,140,0,FALSE,TRUE,TRUE,,Bakers
51-1000,51-1010,Production Occupations,Supervisors of production and operating workers,FALSE,FALSE,FALSE,TRUE,29.54,27.78,61450,57780,621400,612000,9400,31,10,5,0,4,5,6,1,3180,0,0,0,0,80,40,20,730,170,450,100,190,1200,500,450,190,940,270,120,0,FALSE,TRUE,TRUE,,Supervisors of production and operating workers
53-5000,53-5030,Transportation and Material Moving Occupations,Ship engineers,FALSE,FALSE,FALSE,TRUE,35.64,33.93,74120,70570,10100,400,10100,3,0,2,0,0,0,0,1,70,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,30,0,0,0,FALSE,TRUE,TRUE,,Ship engineers
51-6000,51-6010,Production Occupations,Laundry and dry-cleaning workers,FALSE,FALSE,FALSE,TRUE,11.16,10.34,23210,21510,220100,210000,10100,3,0,0,0,0,2,0,1,2490,0,0,0,0,0,0,0,370,0,260,100,220,500,280,120,80,1360,200,120,0,FALSE,TRUE,TRUE,,Laundry and dry-cleaning workers
47-5000,47-5010,Construction and Extraction Occupations,"Derrick operators, oil and gas",FALSE,FALSE,FALSE,FALSE,24.59,23.14,51140,48130,11100,100,11100,3,0,0,0,0,0,0,3,180,0,0,0,0,0,0,0,0,0,0,0,0,140,30,0,110,20,20,0,0,TRUE,TRUE,TRUE,,"Derrick operators, oil and gas"
49-9000,49-9030,"Installation, Maintainance and Repair Occupations",Home appliance repairers,FALSE,FALSE,FALSE,TRUE,19.42,18.06,40390,37570,46600,33400,13300,3,0,0,0,0,0,0,3,120,0,0,0,0,40,40,0,0,0,0,0,0,20,0,0,0,60,20,0,0,FALSE,TRUE,TRUE,,Home appliance repairers
49-9000,49-9070,"Installation, Maintainance and Repair Occupations","Maintenance and repair workers, general",FALSE,FALSE,FALSE,TRUE,18.92,17.76,39360,36940,1432600,1418800,13800,75,6,16,3,34,9,7,0,21250,340,40,0,300,560,360,170,5310,2460,2130,640,830,6280,3320,1300,1230,7710,2810,200,50,FALSE,TRUE,TRUE,,"Maintenance and repair workers, general"
49-3000,49-3020,"Installation, Maintainance and Repair Occupations",Automotive body and related repairers,FALSE,FALSE,FALSE,FALSE,21.72,19.97,45180,41540,160400,145500,14900,6,3,0,0,0,0,0,3,1620,0,0,0,0,40,0,0,40,0,20,20,20,990,450,400,0,530,170,20,0,TRUE,TRUE,TRUE,,Automotive body and related repairers
53-7000,53-7060,Transportation and Material Moving Occupations,Cleaners of vehicles and equipment,FALSE,FALSE,FALSE,FALSE,11.85,10.68,24660,22220,369200,353700,15500,17,4,0,1,0,4,4,4,3260,0,0,0,0,500,110,0,720,150,400,150,360,1120,820,140,90,550,110,40,0,TRUE,TRUE,TRUE,,Cleaners of vehicles and equipment
51-2000,51-2090,Production Occupations,Team assemblers,FALSE,FALSE,FALSE,FALSE,15.65,14.45,32550,30060,1130900,1114700,16100,3,0,0,0,0,0,0,3,1870,20,0,0,0,20,0,0,210,0,150,40,50,340,180,80,40,1230,220,390,0,TRUE,TRUE,TRUE,,Team assemblers
53-3000,53-3010,Transportation and Material Moving Occupations,"Ambulance drivers and attendants, except emergency medical technicians",FALSE,FALSE,FALSE,TRUE,12.31,11.46,25600,23850,17300,2400,17300,1,0,1,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,30,20,0,0,FALSE,TRUE,TRUE,,"Ambulance drivers and attendants, except emergency medical technicians"
53-7000,53-7080,Transportation and Material Moving Occupations,Refuse and recyclable material collectors,FALSE,FALSE,FALSE,TRUE,18.12,16.95,37690,35270,136000,116800,19100,31,0,21,0,0,0,7,3,1630,0,0,0,0,350,230,0,340,110,180,40,40,450,260,50,80,350,200,20,100,FALSE,TRUE,TRUE,,Refuse and recyclable material collectors
49-3000,49-3030,"Installation, Maintainance and Repair Occupations",Bus and truck mechanics and diesel engine specialists,FALSE,FALSE,FALSE,TRUE,22.45,21.72,46710,45170,278800,259500,19300,29,3,9,1,0,3,12,1,3980,0,0,0,0,60,30,30,950,240,520,130,160,1220,900,140,110,1550,400,30,0,FALSE,TRUE,TRUE,,Bus and truck mechanics and diesel engine specialists
51-4000,51-4120,Production Occupations,"Welders, cutters, solderers, and brazers",FALSE,FALSE,FALSE,FALSE,20.41,18.94,42450,39390,404800,382700,22000,39,4,3,5,10,5,12,0,4590,30,0,0,0,30,0,30,480,110,230,90,450,2510,1650,150,320,1010,240,110,50,TRUE,TRUE,TRUE,,"Welders, cutters, solderers, and brazers"
53-7000,53-7010,Transportation and Material Moving Occupations,Conveyor operators and tenders,FALSE,FALSE,FALSE,TRUE,16.28,15.1,33870,31410,28100,1500,28100,5,0,0,2,0,0,3,0,180,0,0,0,0,0,0,0,30,0,0,0,0,60,20,0,20,90,40,0,0,FALSE,TRUE,TRUE,,Conveyor operators and tenders
53-6000,53-6050,Transportation and Material Moving Occupations,Transportation inspectors,FALSE,FALSE,FALSE,TRUE,34.93,34.72,72650,72220,28200,700,28200,1,0,1,0,0,0,0,0,50,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,20,0,0,0,FALSE,TRUE,TRUE,,Transportation inspectors
51-4000,51-4020,Production Occupations,"Rolling machine setters, operators, and tenders, metal and plastic",FALSE,FALSE,FALSE,FALSE,20.14,19.56,41900,40680,29000,100,29000,5,0,0,0,0,0,4,1,240,0,0,0,0,0,0,0,30,0,20,0,0,110,40,30,40,90,30,20,0,TRUE,TRUE,TRUE,,"Rolling machine setters, operators, and tenders, metal and plastic"
49-9000,49-9020,"Installation, Maintainance and Repair Occupations","Heating, air conditioning, and refrigeration mechanics",FALSE,FALSE,FALSE,TRUE,23.23,22.07,48320,45910,332900,302700,30200,37,4,9,0,11,10,3,0,6550,30,20,0,0,490,450,170,1990,920,930,130,620,1530,1060,180,230,1700,470,40,0,FALSE,TRUE,TRUE,,"Heating, air conditioning, and refrigeration mechanics"
53-5000,53-5010,Transportation and Material Moving Occupations,Sailors and marine oilers,FALSE,FALSE,FALSE,TRUE,22.2,20.22,46170,42060,33800,1300,33800,15,4,9,0,0,0,0,2,440,0,0,0,0,30,0,0,80,40,20,0,0,200,140,0,50,110,20,0,0,FALSE,TRUE,TRUE,,Sailors and marine oilers
51-8000,51-8010,Production Occupations,Power plant operators,FALSE,FALSE,FALSE,FALSE,35.48,35.91,73800,74690,36100,100,36100,3,0,0,0,0,0,1,2,190,0,0,0,0,0,0,0,100,40,60,0,0,0,0,0,0,70,30,0,0,TRUE,TRUE,TRUE,,Power plant operators
53-3000,53-3030,Transportation and Material Moving Occupations,Driver/sales workers,FALSE,FALSE,FALSE,FALSE,13.67,10.98,28440,22830,467900,430100,37800,71,14,53,0,0,0,3,1,8790,160,130,0,30,1790,1280,0,2210,540,1280,340,230,1560,1020,270,240,2790,880,30,50,TRUE,TRUE,TRUE,,Driver/sales workers
51-8000,51-8090,Production Occupations,"Petroleum pump system operators, refinery operators, and gaugers",FALSE,FALSE,FALSE,FALSE,32.63,32.4,67870,67400,41800,7600,41800,4,0,0,1,0,0,0,3,80,0,0,0,0,0,0,0,20,20,0,0,0,20,0,0,0,20,0,0,0,TRUE,TRUE,TRUE,,"Petroleum pump system operators, refinery operators, and gaugers"
53-4000,53-4030,Transportation and Material Moving Occupations,Railroad conductors and yardmasters,FALSE,FALSE,FALSE,TRUE,27.99,27.64,58220,57480,41800,38200,41800,6,0,5,0,1,0,0,0,720,30,20,0,0,100,20,0,200,0,0,0,60,120,40,40,30,160,0,0,60,FALSE,TRUE,TRUE,,Railroad conductors and yardmasters
51-9000,51-9040,Production Occupations,"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",FALSE,FALSE,FALSE,TRUE,16.52,15.63,34370,32510,71400,200,71400,3,1,0,0,0,0,0,2,400,0,0,0,0,0,0,0,60,0,50,0,20,150,60,20,70,160,30,30,0,FALSE,TRUE,TRUE,,"Extruding, forming, pressing, and compacting machine setters, operators, and tenders"
53-3000,53-3040,Transportation and Material Moving Occupations,Taxi drivers and chauffeurs,FALSE,FALSE,FALSE,TRUE,12.88,11.68,26790,24300,305100,194500,110600,60,26,30,0,0,0,0,4,2550,60,50,0,0,1000,870,0,630,190,320,100,0,180,100,60,0,620,290,0,40,FALSE,TRUE,TRUE,,Taxi drivers and chauffeurs
51-8000,51-8030,Production Occupations,Water and wastewater treatment plant and system operators,FALSE,FALSE,FALSE,TRUE,23.04,22,47930,45760,119200,400,119200,5,0,1,0,0,0,0,4,210,0,0,0,0,20,20,0,50,20,20,0,0,20,0,0,0,110,20,0,0,FALSE,TRUE,TRUE,,Water and wastewater treatment plant and system operators
51-4000,51-4070,Production Occupations,"Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic",FALSE,FALSE,FALSE,FALSE,15.7,14.65,32660,30480,145400,135100,145400,4,0,0,0,0,0,3,1,920,0,0,0,0,0,0,0,170,30,110,30,110,380,210,80,70,240,90,50,0,TRUE,TRUE,TRUE,,"Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
