minorOccCodeGroup,broadOccCodeGroup,majorOccNameGroup,occupation,end_0000,end_000,end_00,end_0,hourlyMean,hourlyMed,salaryMean,salaryMed,totEmp,wageSalEmp,selfEmp,f_total,f_violence,f_trans,f_fireExp,f_fallSlipTrip,f_exposure,f_contact,f_allOther,nf_total,nf_violence,nf_violence_intent,nf_violence_unintent,nf_violence_animal,nf_trans,nf_trans_roadway,nf_fireExp,nf_fallSlipTrip,nf_fallSlipTrip_lowLevel,nf_fallSlipTrip_sameLevel,nf_fallSlipTrip_noFall,nf_exposure,nf_contact,nf_contact_struckBy,nf_contact_struckAgainst,nf_contact_caughtCompCrush,nf_overextertion,nf_overextertion_liftLowering,nf_overextertion_repetition,nf_allOther,,,stacked,,
17-2000,17-2050,Architecture and Engineering Occupations,Civil engineers,FALSE,FALSE,FALSE,TRUE,43.14,40.16,89730,83540,303500,293300,10200,3,0,0,0,0,0,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,40,0,0,0,FALSE,TRUE,TRUE,,Civil engineers
17-2000,17-2070,Architecture and Engineering Occupations,Electrical and electronics engineers,FALSE,FALSE,FALSE,TRUE,48.45,46.28,100770,96270,324600,320700,3900,1,0,0,0,0,1,0,0,90,0,0,0,0,0,0,0,30,0,30,0,0,0,0,0,0,60,0,0,0,FALSE,TRUE,TRUE,,Electrical and electronics engineers
17-2000,17-2140,Architecture and Engineering Occupations,Mechanical engineers,FALSE,FALSE,FALSE,TRUE,43.17,40.48,89800,84190,288800,287400,1400,5,1,0,1,0,0,0,3,80,0,0,0,0,0,0,0,20,0,0,0,20,20,0,0,0,20,0,0,0,FALSE,TRUE,TRUE,,Mechanical engineers
17-2000,17-2150,Architecture and Engineering Occupations,Mining and geological engineers,FALSE,FALSE,FALSE,TRUE,49.52,45.06,103010,93720,7300,6900,400,3,0,0,0,0,0,0,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,,Mining and geological engineers
17-3000,17-3010,Architecture and Engineering Occupations,Drafters,FALSE,FALSE,FALSE,TRUE,27.16,25.71,56500,53480,207700,204100,3600,2,0,2,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,FALSE,TRUE,TRUE,,Drafters
17-3000,17-3020,Architecture and Engineering Occupations,"Engineering technicians, except drafters",FALSE,FALSE,FALSE,TRUE,28.61,27.55,59510,57310,441300,438300,3000,10,3,6,0,0,0,0,1,970,0,0,0,0,50,30,0,240,90,130,0,20,140,80,0,50,480,100,110,20,FALSE,TRUE,TRUE,,"Engineering technicians, except drafters"
19-1000,19-1020,"Life, Physical and Social Science Occupations",Biological scientists,FALSE,FALSE,FALSE,TRUE,38.49,34.56,80060,71890,112800,110600,2200,1,0,0,0,0,1,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,,Biological scientists
19-1000,19-1040,"Life, Physical and Social Science Occupations",Medical scientists,FALSE,FALSE,FALSE,TRUE,45.26,38.33,94150,79730,126100,123600,2500,1,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,20,0,20,0,20,30,20,0,0,20,0,20,0,FALSE,TRUE,TRUE,,Medical scientists
19-2000,19-2030,"Life, Physical and Social Science Occupations",Chemists and materials scientists,FALSE,FALSE,FALSE,TRUE,39.68,36.26,82520,75420,96200,400,96200,3,3,0,0,0,0,0,0,150,0,0,0,0,0,0,0,20,0,0,0,90,20,20,0,0,20,0,0,0,FALSE,TRUE,TRUE,,Chemists and materials scientists
19-3000,19-3090,"Life, Physical and Social Science Occupations",Miscellaneous social scientists and related workers,FALSE,FALSE,FALSE,TRUE,39.22,37.03,81570,77020,61900,57900,3900,1,0,1,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,,Miscellaneous social scientists and related workers
19-4000,19-4090,"Life, Physical and Social Science Occupations","Life, physical, and social science technicians",FALSE,FALSE,FALSE,FALSE,23.69,22.14,49270,46040,76100,74900,1200,3,0,0,0,0,0,0,3,140,0,0,0,0,0,0,0,40,20,0,0,0,30,20,0,0,60,0,20,0,TRUE,TRUE,TRUE,,"Life, physical, and social science technicians"
21-1000,21-1010,Community and Social Service Occupations,Counselors,FALSE,FALSE,FALSE,TRUE,23.91,22.1,49740,45970,744500,702000,42400,6,3,0,0,0,0,0,3,3430,1080,710,320,40,480,400,0,740,50,610,80,60,570,140,420,0,480,80,0,0,FALSE,TRUE,TRUE,,Counselors
21-1000,21-1020,Community and Social Service Occupations,Social workers,FALSE,FALSE,FALSE,TRUE,24.38,22.54,50710,46890,682100,665700,16400,5,1,0,0,0,0,0,4,2240,430,270,120,50,530,450,0,480,60,350,50,70,100,50,20,0,630,270,20,0,FALSE,TRUE,TRUE,,Social workers
21-1000,21-1090,Community and Social Service Occupations,Miscellaneous community and social service specialists,FALSE,FALSE,FALSE,TRUE,19.84,17.77,41270,36970,699900,697000,2900,4,3,0,0,0,0,0,1,3580,1190,870,300,20,370,350,0,1140,90,960,80,30,370,130,70,30,470,130,20,0,FALSE,TRUE,TRUE,,Miscellaneous community and social service specialists
21-2000,21-2010,Community and Social Service Occupations,Clergy,FALSE,FALSE,FALSE,TRUE,23.77,21.99,49450,45740,243900,242400,1500,7,2,0,0,3,0,0,2,50,0,0,0,0,0,0,0,30,0,30,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,,Clergy
23-1000,23-1010,Legal Occupations,Lawyers and judicial law clerks,FALSE,FALSE,FALSE,TRUE,66.44,55.89,138190,116250,806500,644800,161700,12,10,0,0,0,0,0,2,80,0,0,0,0,30,20,0,0,0,0,0,0,20,20,0,0,0,0,0,0,FALSE,TRUE,TRUE,,Lawyers and judicial law clerks
